algorithm,alpha,gamma,epsilon,avg_reward_last_100,avg_steps_last_100,avg_falls_last_100,total_falls,success,eval_steps,eval_falls,eval_reward
SARSA,0.1,0.99,0.2,-134.78,55.57,0.82,1277,1,23,0,-2.0
Q-learning,0.1,0.99,0.3,-163.34,46.24,1.26,1896,1,23,0,-2.0
SARSA,0.1,0.99,0.3,-343.18,88.9,2.33,2487,1,23,0,-2.0
Q-learning,0.3,0.7,0.05,-13.04,25.04,0.08,176,1,23,0,-2.0
SARSA,0.3,0.7,0.05,-318.18,243.56,0.5,446,1,23,0,-2.0
Q-learning,0.3,0.7,0.1,-25.62,26.68,0.18,282,1,23,0,-2.0
SARSA,0.3,0.7,0.1,-371.63,239.34,0.9,900,1,57,0,-36.0
Q-learning,0.3,0.7,0.2,-165.7,38.97,1.43,1253,1,23,0,-2.0
SARSA,0.3,0.7,0.2,-551.64,236.76,2.32,2086,1,55,0,-34.0
Q-learning,0.3,0.7,0.3,-170.45,45.27,1.34,2279,1,23,0,-2.0
SARSA,0.3,0.7,0.3,-857.26,248.04,4.84,4053,1,45,0,-24.0
Q-learning,0.3,0.9,0.05,-20.6,25.67,0.15,158,1,23,0,-2.0
SARSA,0.3,0.9,0.05,-301.95,227.77,0.57,401,0,300,0,-1376.0
Q-learning,0.3,0.9,0.1,-27.6,27.71,0.19,296,1,23,0,-2.0
SARSA,0.3,0.9,0.1,-371.41,242.59,0.85,783,0,300,0,-1348.0
Q-learning,0.3,0.9,0.2,-103.86,35.85,0.83,828,1,23,0,-2.0
SARSA,0.3,0.9,0.2,-507.29,228.65,2.06,1673,1,35,0,-14.0
Q-learning,0.3,0.9,0.3,-156.78,42.46,1.24,1420,1,23,0,-2.0
SARSA,0.3,0.9,0.3,-708.38,226.87,3.77,3461,1,31,0,-10.0
Q-learning,0.3,0.95,0.05,-16.24,25.39,0.11,145,1,23,0,-2.0
SARSA,0.3,0.95,0.05,-207.78,165.7,0.35,333,1,25,0,-4.0
Q-learning,0.3,0.95,0.1,-35.67,28.02,0.27,325,1,23,0,-2.0
