episode,score,reward,epsilon,best_score_so_far
60,1,-414.0,0.41626956707756796,4
61,1,-163.65,0.41502075837633523,4
62,2,-262.65000000000003,0.41377569610120624,4
63,3,-556.8999999999999,0.41253436901290264,4
64,0,-256.8,0.41129676590586395,4
65,1,-469.74999999999994,0.41006287560814636,4
66,2,-152.7,0.4088326869813219,4
67,2,-189.14999999999998,0.4076061889203779,4
68,3,-213.20000000000002,0.40638337035361677,4
69,1,-515.3999999999999,0.40516422024255594,4
70,2,-128.7,0.40394872758182826,4
71,3,-165.35,0.40273688139908276,4
72,5,-135.2,0.4015286707548855,5
73,1,-356.25,0.4003240847426209,5
74,0,-172.9,0.399123112488393,5
75,2,-409.7,0.3979257431509278,5
76,1,-117.30000000000001,0.396731965921475,5
77,1,-369.90000000000003,0.3955417700237106,5
78,2,-264.85,0.39435514471363947,5
79,1,-226.0,0.39317207927949854,5
80,2,-312.85,0.39199256304166,5
81,1,-374.15,0.39081658535253505,5
82,0,-198.29999999999998,0.3896441355964774,5
83,3,-306.9000000000001,0.388475203189688,5
84,2,-84.25,0.3873097775801189,5
85,2,-201.05,0.3861478482473786,5
86,2,-174.55,0.38498940470263643,5
87,2,-374.05,0.3838344364885285,5
88,2,-224.25,0.38268293317906293,5
89,1,-311.05000000000007,0.38153488437952576,5
90,0,-232.7,0.38039027972638717,5
91,0,-189.54999999999998,0.37924910888720803,5
92,2,-359.45000000000005,0.3781113615605464,5
93,2,-115.2,0.37697702747586476,5
94,4,-369.5,0.37584609639343713,5
95,2,-212.1,0.3747185581042568,5
96,1,-128.55,0.373594402429944,5
97,3,-433.25,0.3724736192226542,5
98,0,-145.1,0.37135619836498623,5
99,0,-185.6,0.3702421297698913,5
100,1,-337.8,0.3691314033805816,5
101,1,-111.45,0.36802400917043987,5
102,3,-279.5,0.36691993714292853,5
103,0,-164.35,0.36581917733149977,5
104,3,-264.90000000000003,0.36472171979950524,5
105,2,-411.65000000000003,0.3636275546401067,5
106,3,-349.4,0.3625366719761864,5
107,3,-255.25000000000006,0.36144906196025783,5
108,2,-298.1,0.36036471477437704,5
109,1,-206.20000000000002,0.3592836206300539,5
110,4,-447.35,0.35820576976816376,5
111,2,-338.05,0.3571311524588593,5
112,0,-179.65,0.35605975900148273,5
113,1,-205.8,0.3549915797244783,5
114,1,-231.55,0.35392660498530487,5
115,2,-145.9,0.35286482517034895,5
116,0,-176.85,0.3518062306948379,5
117,0,-168.3,0.3507508120027534,5
118,6,-360.7,0.3496985595667451,6
119,1,-94.1,0.34864946388804485,6
120,3,-243.10000000000002,0.34760351549638074,6
121,1,-302.54999999999995,0.3465607049498916,6
122,0,-259.25,0.34552102283504194,6
123,0,-175.65,0.3444844597665368,6
124,1,-274.55,0.3434510063872372,6
125,3,-366.49999999999994,0.3424206533680755,6
126,1,-304.0,0.34139339140797126,6
127,0,-183.7,0.34036921123374736,6
