episode,score,reward,epsilon,loss,best_score_so_far
138,1,-96.05,0.3951648032852758,1.6029603481292725,10
139,2,-294.70000000000005,0.39397930887542,3.127633258700371,10
140,2,-257.25,0.39279737094879374,5.977083955492292,10
141,2,-305.20000000000005,0.3916189788359474,5.253236108356052,10
142,5,-220.64999999999998,0.39044412189943956,5.240570163726806,10
143,0,-164.39999999999998,0.3892727895337412,4.783520698547363,10
144,2,-213.75,0.38810497116514,4.458266059557597,10
145,8,-164.15000000000003,0.38694065625164453,3.5807757194225607,10
146,1,-248.25000000000003,0.3857798342828896,2.924900139371554,10
147,0,-160.5,0.3846224947800409,3.23300302028656,10
148,4,-321.9000000000001,0.3834686272957008,3.845648863098838,10
149,2,-98.9,0.3823182214138137,4.664869785308838,10
150,1,-223.54999999999998,0.3811712667495723,3.2421199798583986,10
151,4,-285.20000000000005,0.38002775294932356,4.342699137600985,10
152,8,-174.89999999999998,0.3788876696904756,2.6954907453977146,10
153,2,-238.3,0.37775100668140416,4.4585486480167935,10
154,1,-132.7,0.37661775366135997,4.90070120493571,10
155,3,-257.04999999999995,0.3754879004003759,4.624668926000595,10
156,0,-155.75,0.37436143669917477,3.5471006631851196,10
157,2,-335.95000000000005,0.37323835238907727,3.248961236741808,10
158,5,-397.15000000000003,0.37211863733191003,3.2548516429960728,10
159,1,-340.5,0.3710022814199143,4.149541147053242,10
160,1,-147.9,0.36988927457565457,3.846010208129883,10
161,1,-235.65,0.3687796067519276,4.294428730010987,10
162,2,-214.64999999999998,0.3676732679316718,3.8167226910591125,10
163,1,-143.4,0.3665702481278768,3.4198880195617676,10
164,2,-229.80000000000004,0.36547053738349317,4.03564449151357,10
165,3,-280.0,0.3643741257713427,3.7708838648266263,10
166,1,-219.4,0.3632810033940287,3.498241329193115,10
167,2,-159.05,0.3621911603838466,3.6612860202789306,10
168,2,-98.85,0.36110458690269504,2.3700505097707114,10
169,1,-160.55,0.36002127314198695,3.959165175755819,10
170,2,-167.9,0.358941209322561,2.689810299873352,10
171,2,-199.45000000000002,0.35786438569459333,3.1207320292790732,10
172,1,-113.35000000000001,0.35679079253750956,2.848783254623413,10
173,1,-218.89999999999998,0.355720420159897,3.043437683582306,10
174,3,-368.94999999999993,0.35465325889941735,3.9461763230237095,10
175,4,-254.55,0.3535892991227191,4.228319573402405,10
176,3,-332.5,0.35252853122535094,3.801197187467055,10
177,4,-134.3,0.35147094563167486,6.900605712618146,10
178,1,-96.05,0.35041653279477986,6.043546199798584,10
179,2,-134.05,0.34936528319639554,6.052820682525635,10
180,3,-275.65000000000003,0.34831718734680633,4.887859058380127,10
181,2,-155.25,0.3472722357847659,3.878322422504425,10
182,3,-47.949999999999996,0.3462304190774116,3.3813490867614746,10
183,5,-234.84999999999997,0.3451917278201794,4.484187537973577,10
184,0,-185.65,0.34415615263671884,4.470961093902588,10
185,4,-193.69999999999996,0.3431236841788087,3.589762952592638,10
186,4,-191.5,0.34209431312627225,3.1248544603586197,10
187,3,-209.75000000000006,0.3410680301868934,3.278300851583481,10
188,2,-124.94999999999999,0.34004482609633274,4.369256178538005,10
189,4,-82.59999999999998,0.3390246916180437,4.195099413394928,10
190,3,-324.25,0.3380076175431896,4.040117335319519,10
191,3,-165.99999999999997,0.33699359469056,3.1606502632300058,10
192,3,-358.8999999999999,0.3359826139064883,3.902387867371241,10
193,8,-510.10000000000014,0.33497466606476883,3.52072152224454,10
194,1,-360.25,0.33396974206657454,4.009057217174107,10
195,2,-255.60000000000002,0.3329678328403748,2.5827226638793945,10
196,4,-217.85000000000002,0.3319689293418537,3.6083572573131986,10
197,5,-177.99999999999997,0.3309730225538281,3.2353971123695375,10
198,4,-138.80000000000004,0.32998010348616663,3.699067779949733,10
199,3,-252.20000000000002,0.3289901631757081,3.891533136367798,10
200,3,-275.55,0.328003192686181,3.452191150188446,10
201,3,-285.80000000000007,0.32701918310812245,4.382794671588474,10
202,3,-312.25,0.3260381255587981,3.459378695487976,10
203,1,-122.0,0.3250600111821217,3.161151091257731,10
204,1,-130.65,0.32408483114857534,3.8880434036254883,10
205,5,-217.15000000000003,0.3231125766551296,2.8190540611743926,10
206,2,-189.35,0.3221432389251642,3.860580841700236,10
207,9,-329.15000000000015,0.3211768092083887,3.795072853565216,10
208,6,-255.74999999999994,0.32021327878076355,5.138472722126887,10
209,3,-311.5,0.31925263894442124,5.002112952145663,10
210,0,-151.7,0.31829488102758796,6.357648849487305,10
211,7,-473.49999999999994,0.3173399963845052,4.605051720142365,10
212,3,-180.35000000000002,0.3163879763953517,3.1181301048823764,10
213,1,-272.15,0.3154388124661657,3.456456184387207,10
214,0,-171.0,0.31449249602876717,3.5808608531951904,10
215,10,-313.45000000000005,0.31354901854068085,3.9426493048667908,10
216,3,-133.54999999999998,0.3126083714850588,3.501760562260946,10
217,6,-424.1499999999998,0.31167054637060365,3.4252173479865577,10
218,2,-195.0,0.31073553473149185,3.2656582593917847,10
219,5,-211.90000000000003,0.3098033281272974,3.8159085154533385,10
220,3,-225.0,0.3088739181429155,3.49681144207716,10
221,7,-434.59999999999985,0.3079472963884867,3.949400462602314,10
222,7,-176.75,0.3070234544993213,4.388372500737508,10
223,6,-551.6999999999999,0.3061023841358233,4.078074237420445,10
224,2,-81.55,0.3051840769834158,2.413821816444397,10
225,4,-243.95000000000005,0.3042685247524656,3.4612697541713713,10
226,1,-205.75,0.3033557191782082,3.586497402191162,10
227,1,-190.95,0.3024456520206736,2.9997579157352448,10
228,6,-376.19999999999993,0.30153831506461154,3.522398956120014,10
229,3,-288.40000000000003,0.3006337001194177,5.323137378692627,10
230,6,-343.6500000000001,0.29973179901905944,3.455031234025955,10
231,3,-276.1,0.29883260362200226,3.8794005976782904,10
232,2,-359.65000000000003,0.2979361058111363,3.204565370082855,10
233,6,-337.29999999999995,0.29704229749370287,6.07462657292684,10
234,4,-283.55000000000007,0.29615117060122176,4.792002006010576,10
235,0,-218.25000000000003,0.2952627170894181,4.189546346664429,10
236,8,-571.9999999999995,0.2943769289381498,3.835652475555738,10
237,2,-135.5,0.29349379815133536,4.30208694934845,10
238,4,-230.2,0.29261331675688135,3.732964422967699,10
239,3,-314.05,0.2917354768066107,4.354949879646301,10
240,1,-145.9,0.2908602703761909,2.9904231230417886,10
241,2,-285.4,0.2899876895650623,2.890061780810356,10
242,4,-329.79999999999995,0.28911772649636713,5.101071119308472,10
243,2,-227.85000000000002,0.28825037331687803,3.7239797512690225,10
244,2,-130.65,0.28738562219692737,4.00466912984848,10
245,5,-319.25,0.28652346533033657,3.8123093384962816,10
246,3,-167.2,0.2856638949343456,3.652801990509033,10
247,0,-190.25,0.28480690324954255,3.801635980606079,10
248,11,-427.4999999999999,0.28395248253979394,3.4822633961836496,11
249,0,-138.45,0.28310062509217454,5.733297109603882,11
250,8,-605.2499999999999,0.282251323216898,4.434129667282105,11
251,8,-491.55,0.2814045692472473,3.5167488157749176,11
252,1,-183.55,0.2805603555395056,4.079427361488342,11
253,4,-49.2,0.27971867447288706,3.9045892357826233,11
254,3,-281.80000000000007,0.2788795184494684,4.331150266859266,11
255,4,-270.3500000000001,0.27804287989412,3.286350429058075,11
256,4,-227.70000000000005,0.27720875125443767,4.38189331293106,11
257,7,-283.6,0.27637712500067435,5.09960827032725,11
258,2,-199.74999999999997,0.27554799362567234,6.403850269317627,11
259,2,-182.65,0.27472134964479533,4.47733469804128,11
260,5,-139.15,0.27389718559586096,4.2424158453941345,11
261,3,-65.1,0.2730754940390734,4.765770276387532,11
262,3,-500.9,0.27225626755695614,4.551351873079936,11
263,1,-141.25,0.2714394987542853,4.167339722315471,11
264,1,-149.95,0.27062518025802246,3.8828147252400718,11
265,6,-319.95000000000005,0.2698133047172484,3.6112648589270457,11
266,6,-180.2,0.2690038648030967,3.9131709445606577,11
267,2,-132.8,0.2681968532086874,4.419034540653229,11
268,1,-402.8999999999999,0.26739226264906135,3.918836236000061,11
269,8,-297.25,0.26659008586111416,4.867410734295845,11
270,0,-153.8,0.26579031560353084,3.8733779191970825,11
271,7,-230.7,0.26499294465672024,4.174448345388685,11
272,6,-265.1,0.26419796582275007,4.343788018593421,11
273,3,-209.70000000000002,0.2634053719252818,3.512373243059431,11
274,1,-128.6,0.26261515580950595,4.69420599937439,11
275,5,-511.8999999999997,0.26182731034207746,3.971442825264401,11
276,2,-98.85000000000001,0.2610418284110512,5.053524494171143,11
277,4,-290.65,0.2602587029258181,4.471539703282443,11
278,2,-244.9,0.2594779268170406,4.360661029815674,11
279,1,-111.4,0.2586994930365895,2.965732216835022,11
280,4,-213.90000000000003,0.25792339455747976,3.9887391328811646,11
281,8,-444.5500000000002,0.25714962437380734,4.79849716595241,11
282,6,-222.35,0.2563781755006859,4.1820696492989855,11
283,7,-194.30000000000004,0.25560904097418385,4.3080840309460955,11
284,2,-163.25,0.2548422138512613,3.1421221017837526,11
285,5,-129.54999999999998,0.2540776872097075,4.931350022554398,11
286,6,-240.24999999999994,0.2533154541480784,4.709290871253381,11
287,4,-309.05,0.2525555077856341,4.324215347116644,11
288,1,-160.54999999999998,0.2517978412622772,4.5739880204200745,11
289,4,-89.14999999999998,0.2510424477384904,2.9109889030456544,11
290,7,-491.0,0.2502893203952749,4.256029174441383,11
291,2,-107.55000000000001,0.2495384524340891,4.283145745595296,11
292,4,-156.1,0.2487898370767868,5.745240211486816,11
293,2,-81.6,0.24804346756555645,6.2687099774678545,11
294,7,-329.8500000000001,0.2472993371628598,4.065735213458538,11
295,12,-354.4,0.2465574391513712,4.564523013929526,12
296,4,-324.0,0.2458177668339171,4.175885375589132,12
297,1,-216.45000000000002,0.24508031353341533,4.340828394889831,12
298,6,-333.1000000000001,0.2443450725928151,3.774409932749612,12
299,2,-88.25,0.24361203737503664,5.549720843633016,12
300,4,-157.6,0.24288120126291154,4.8768278530665805,12
301,2,-161.25,0.2421525576591228,3.785935878753662,12
302,1,-205.7,0.24142609998614542,3.566294765472412,12
303,6,-384.0999999999998,0.24070182168618698,4.116019934415817,12
304,3,-233.9,0.23997971622112843,3.5577859431505203,12
305,0,-173.05,0.23925977707246504,2.816978931427002,12
306,1,-111.4,0.23854199774124765,5.53097140789032,12
307,6,-96.65,0.2378263717480239,3.5641229417588978,12
308,1,-184.3,0.23711289263277982,5.713037550449371,12
309,5,-323.0,0.2364015539548815,5.4275273359738865,12
310,1,-226.00000000000003,0.23569234929301686,3.648549509048462,12
311,5,-274.1499999999999,0.2349852722451378,4.280287583669026,12
312,5,-94.0,0.23428031642840239,3.76575699874333,12
313,2,-96.8,0.23357747547911717,3.900547424952189,12
314,1,-141.25,0.23287674305267983,3.4236727555592856,12
315,8,-310.75000000000006,0.2321781128235218,5.124043899423936,12
